trackId,Artist,title,streams
6b2mfHMqWCA74XmUuVJm8r,Post Malone,I Know ,58147
5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go ,57992
5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,Giant (with Rag'n'Bone Man) ,57699
4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - 2011 Mix ,57440
0k664IuFwVP557Gnx7RhIl,Lizzo,Juice ,57293
285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams ,56999
6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger (with Normani) ,56586
3wAyZwtyyLMsJNG7Mb17ky,Hardy Caprio,Best Life ,56544
1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine) ,56144
7g93COdRFvOxwpxPlvrqLM,Sam Fender,Dead Boys ,55532
5qrSlOut2rNAWv3ubArkNy,Dean Lewis,Be Alright ,54973
4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend ,54792
2374M0fQpWi3dLnB54qaLX,TOTO,Africa ,54696
6alCTRgBPoeAFi2N4il9Q4,Lil Tecca,Did It Again ,54654
2sqsNXfN0HtgDEgaHXiUTa,Swae Lee,Won't Be Late (feat. Drake) ,54579
0KAzP1Rbp0Vz5pw8i1KDDI,Post Malone,Internet ,54129
2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood ,53859
6soHep4ttoMPf2HFht4JeY,SL,100 Thoughts ,53425
7cz506PyIgh2bMN90Mc8Tn,Wiley,Boasty (feat. Idris Elba) ,53328
40OMBMYRk5IQL6xCzGM0JA,Martin Garrix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) ,53232
3Fzlg5r1IjhLk2qRw667od,Toploader,Dancing in the Moonlight ,52987
0azSeNc3H1uS3nDCbsaoJY,Deno,Change (feat. DigDat) ,52826
6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out (feat. Lil Tjay) ,52551
7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You ,52228
4y90aFUvxkibo5m3XUzaBd,Aitch,Already (feat. Tyreezy) ,52209
5T8EDUDqKcs6OSOwEsfqG7,Queen,Don't Stop Me Now - 2011 Mix ,52206
7BHPGtpuuWWsvE7cCaMuEU,The Kooks,Naive ,51972
2toVe5hfuIi97ytDPDbQFt,Tyga,Taste (feat. Offset) ,51901
0UPBidRYcgJ2mjZlk08V8x,Lil Tjay,F.N ,51594
0UvCh63URrLFcPkKt99hHd,Oasis,Don't Look Back in Anger - Remastered ,51283
38zwkK6TtTjIW9tpYBfZ3D,George Ezra,Paradise ,51156
5N5k9nd479b1xpDZ4usjrg,Calvin Harris,Promises (with Sam Smith) ,50992
